"","rowname","variable","value","valid_n","aggregation_type","xi","yi","group","disa","count","key","code","rank","variable_label","rowname_label","yi_lab","xi_lab"
"22","female","govt_benefits",1.1,587,"percentage","cash_flow","hoh_gender_final","female"," ",6,"cash_flow/female","1",5,"Government benefits (pension)",NA,"hoh_gender_final","In the last 30 days, has money come into the household through the following means?"
"23","male","work",93.4,4647,"percentage","cash_flow","hoh_gender_final","male"," ",4340,"cash_flow/male","2",1,"Income through work/labour",NA,"hoh_gender_final","In the last 30 days, has money come into the household through the following means?"
"24","male","loans",15.2,4647,"percentage","cash_flow","hoh_gender_final","male"," ",706,"cash_flow/male","2",2,"Borrow money / take on debt",NA,"hoh_gender_final","In the last 30 days, has money come into the household through the following means?"
"25","male","remittances",2.5,4647,"percentage","cash_flow","hoh_gender_final","male"," ",116,"cash_flow/male","2",5,"Remittances/gifts",NA,"hoh_gender_final","In the last 30 days, has money come into the household through the following means?"
"26","male","sell_assets",3.3,4647,"percentage","cash_flow","hoh_gender_final","male"," ",153,"cash_flow/male","2",3,"Selling personal belongings",NA,"hoh_gender_final","In the last 30 days, has money come into the household through the following means?"
"27","male","humanitarian_aid",2.6,4647,"percentage","cash_flow","hoh_gender_final","male"," ",121,"cash_flow/male","2",4,"Humanitarian aid (cash distribution)",NA,"hoh_gender_final","In the last 30 days, has money come into the household through the following means?"
"28","male","govt_benefits",1.2,4647,"percentage","cash_flow","hoh_gender_final","male"," ",56,"cash_flow/male","2",6,"Government benefits (pension)",NA,"hoh_gender_final","In the last 30 days, has money come into the household through the following means?"
"29","female","business",0.8,544,"percentage","income_source","hoh_gender_final","female"," ",4,"income_source/female","1",6,"Business / sale of goods / services",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"30","female","cash_crop",15.8,544,"percentage","income_source","hoh_gender_final","female"," ",86,"income_source/female","1",2,"Cash crop farming",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"31","female","formal",2.5,544,"percentage","income_source","hoh_gender_final","female"," ",14,"income_source/female","1",5,"Formal employment / with contract",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"32","female","livestock",10.5,544,"percentage","income_source","hoh_gender_final","female"," ",57,"income_source/female","1",4,"Livestock farming",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"33","female","rent",0.7,544,"percentage","income_source","hoh_gender_final","female"," ",4,"income_source/female","1",7,"Rental properties",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"34","female","skilled",15.1,544,"percentage","income_source","hoh_gender_final","female"," ",82,"income_source/female","1",3,"Skilled daily labour / no contract",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"35","female","unskilled",54.7,544,"percentage","income_source","hoh_gender_final","female"," ",298,"income_source/female","1",1,"Unskilled daily labour / no contract",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"36","male","business",4.5,4293,"percentage","income_source","hoh_gender_final","male"," ",193,"income_source/male","2",4,"Business / sale of goods / services",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"37","male","cash_crop",13.7,4293,"percentage","income_source","hoh_gender_final","male"," ",588,"income_source/male","2",2,"Cash crop farming",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"38","male","formal",2.1,4293,"percentage","income_source","hoh_gender_final","male"," ",90,"income_source/male","2",6,"Formal employment / with contract",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"39","male","livestock",2.5,4293,"percentage","income_source","hoh_gender_final","male"," ",107,"income_source/male","2",5,"Livestock farming",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"40","male","rent",0.1,4293,"percentage","income_source","hoh_gender_final","male"," ",4,"income_source/male","2",7,"Rental properties",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"41","male","skilled",12.2,4293,"percentage","income_source","hoh_gender_final","male"," ",524,"income_source/male","2",3,"Skilled daily labour / no contract",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"42","male","unskilled",64.9,4293,"percentage","income_source","hoh_gender_final","male"," ",2786,"income_source/male","2",1,"Unskilled daily labour / no contract",NA,"hoh_gender_final","In the last 30 days, what type of work provided the majority of income for your household?"
"43","female","collective_centre",0,631,"percentage","shelter_type","hoh_gender_final","female"," ",0,"shelter_type/female","1",7,"Collective centre (not intended for living)",NA,"hoh_gender_final","What type of shelter does the household live in?"
"44","female","damaged_house",2.3,631,"percentage","shelter_type","hoh_gender_final","female"," ",15,"shelter_type/female","1",4,"Damaged house",NA,"hoh_gender_final","What type of shelter does the household live in?"
"45","female","makeshift",0.6,631,"percentage","shelter_type","hoh_gender_final","female"," ",4,"shelter_type/female","1",5,"Makeshift shelter",NA,"hoh_gender_final","What type of shelter does the household live in?"
"46","female","permanent",54.1,631,"percentage","shelter_type","hoh_gender_final","female"," ",341,"shelter_type/female","1",1,"Permanent (mud or bricks)",NA,"hoh_gender_final","What type of shelter does the household live in?"
"47","female","tent",0.5,631,"percentage","shelter_type","hoh_gender_final","female"," ",3,"shelter_type/female","1",6,"Tent (emergency shelter)",NA,"hoh_gender_final","What type of shelter does the household live in?"
"48","female","transitional",39.2,631,"percentage","shelter_type","hoh_gender_final","female"," ",247,"shelter_type/female","1",2,"Transitional",NA,"hoh_gender_final","What type of shelter does the household live in?"
"49","female","unfinished",3.4,631,"percentage","shelter_type","hoh_gender_final","female"," ",21,"shelter_type/female","1",3,"Unfinished shelter (house)",NA,"hoh_gender_final","What type of shelter does the household live in?"
"50","male","collective_centre",0,4844,"percentage","shelter_type","hoh_gender_final","male"," ",0,"shelter_type/male","2",7,"Collective centre (not intended for living)",NA,"hoh_gender_final","What type of shelter does the household live in?"
"51","male","damaged_house",0.4,4844,"percentage","shelter_type","hoh_gender_final","male"," ",19,"shelter_type/male","2",6,"Damaged house",NA,"hoh_gender_final","What type of shelter does the household live in?"
"52","male","makeshift",0.5,4844,"percentage","shelter_type","hoh_gender_final","male"," ",24,"shelter_type/male","2",5,"Makeshift shelter",NA,"hoh_gender_final","What type of shelter does the household live in?"
"53","male","permanent",68.4,4844,"percentage","shelter_type","hoh_gender_final","male"," ",3313,"shelter_type/male","2",1,"Permanent (mud or bricks)",NA,"hoh_gender_final","What type of shelter does the household live in?"
"54","male","tent",4,4844,"percentage","shelter_type","hoh_gender_final","male"," ",194,"shelter_type/male","2",3,"Tent (emergency shelter)",NA,"hoh_gender_final","What type of shelter does the household live in?"
"55","male","transitional",24.9,4844,"percentage","shelter_type","hoh_gender_final","male"," ",1206,"shelter_type/male","2",2,"Transitional",NA,"hoh_gender_final","What type of shelter does the household live in?"
"56","male","unfinished",1.9,4844,"percentage","shelter_type","hoh_gender_final","male"," ",92,"shelter_type/male","2",4,"Unfinished shelter (house)",NA,"hoh_gender_final","What type of shelter does the household live in?"
"57","female","no",63.5,631,"percentage","shelter_damage","hoh_gender_final","female"," ",401,"shelter_damage/female","1",1,"No",NA,"hoh_gender_final","Has the household's current shelter been damaged since the beginning of 2019?"
"58","female","yes",36.5,631,"percentage","shelter_damage","hoh_gender_final","female"," ",230,"shelter_damage/female","1",2,"Yes",NA,"hoh_gender_final","Has the household's current shelter been damaged since the beginning of 2019?"
"59","male","no",70.4,4844,"percentage","shelter_damage","hoh_gender_final","male"," ",3410,"shelter_damage/male","2",1,"No",NA,"hoh_gender_final","Has the household's current shelter been damaged since the beginning of 2019?"
"60","male","yes",29.6,4844,"percentage","shelter_damage","hoh_gender_final","male"," ",1434,"shelter_damage/male","2",2,"Yes",NA,"hoh_gender_final","Has the household's current shelter been damaged since the beginning of 2019?"
"61","female","natural_disaster",68.7,373,"percentage","shelter_damage_cause","hoh_gender_final","female"," ",256,"shelter_damage_cause/female","1",1,"Natural disaster",NA,"hoh_gender_final","What was the main cause of this damage?"
"62","female","poor_materials",30.6,373,"percentage","shelter_damage_cause","hoh_gender_final","female"," ",114,"shelter_damage_cause/female","1",2,"Poor quality of materials in shelter",NA,"hoh_gender_final","What was the main cause of this damage?"
"63","female","violence_area",0.7,373,"percentage","shelter_damage_cause","hoh_gender_final","female"," ",3,"shelter_damage_cause/female","1",3,"Violence in the area",NA,"hoh_gender_final","What was the main cause of this damage?"
"64","male","natural_disaster",78.9,2417,"percentage","shelter_damage_cause","hoh_gender_final","male"," ",1907,"shelter_damage_cause/male","2",1,"Natural disaster",NA,"hoh_gender_final","What was the main cause of this damage?"
"65","male","poor_materials",16.5,2417,"percentage","shelter_damage_cause","hoh_gender_final","male"," ",399,"shelter_damage_cause/male","2",2,"Poor quality of materials in shelter",NA,"hoh_gender_final","What was the main cause of this damage?"
"66","male","violence_area",4.5,2417,"percentage","shelter_damage_cause","hoh_gender_final","male"," ",109,"shelter_damage_cause/male","2",3,"Violence in the area",NA,"hoh_gender_final","What was the main cause of this damage?"
"67","female","bad",29.3,631,"percentage","shelter_damage_overall","hoh_gender_final","female"," ",185,"shelter_damage_overall/female","1",2,"Bad (significant structural damage)",NA,"hoh_gender_final","What is the condition of the shelter overall?"
"68","female","destroyed",0.8,631,"percentage","shelter_damage_overall","hoh_gender_final","female"," ",5,"shelter_damage_overall/female","1",4,"Fully destroyed",NA,"hoh_gender_final","What is the condition of the shelter overall?"
"69","female","good",28.1,631,"percentage","shelter_damage_overall","hoh_gender_final","female"," ",177,"shelter_damage_overall/female","1",3,"Good (no visible damage)",NA,"hoh_gender_final","What is the condition of the shelter overall?"
"70","female","minor",41.8,631,"percentage","shelter_damage_overall","hoh_gender_final","female"," ",264,"shelter_damage_overall/female","1",1,"Minor (some insignificant damage, does not affect shelter stability)",NA,"hoh_gender_final","What is the condition of the shelter overall?"
"71","male","bad",19,4844,"percentage","shelter_damage_overall","hoh_gender_final","male"," ",920,"shelter_damage_overall/male","2",3,"Bad (significant structural damage)",NA,"hoh_gender_final","What is the condition of the shelter overall?"
"72","male","destroyed",1.1,4844,"percentage","shelter_damage_overall","hoh_gender_final","male"," ",53,"shelter_damage_overall/male","2",4,"Fully destroyed",NA,"hoh_gender_final","What is the condition of the shelter overall?"
"73","male","good",35.3,4844,"percentage","shelter_damage_overall","hoh_gender_final","male"," ",1710,"shelter_damage_overall/male","2",2,"Good (no visible damage)",NA,"hoh_gender_final","What is the condition of the shelter overall?"
"74","male","minor",44.6,4844,"percentage","shelter_damage_overall","hoh_gender_final","male"," ",2160,"shelter_damage_overall/male","2",1,"Minor (some insignificant damage, does not affect shelter stability)",NA,"hoh_gender_final","What is the condition of the shelter overall?"
"75","female","no",94.4,504,"percentage","repairs","hoh_gender_final","female"," ",476,"repairs/female","1",1,"No",NA,"hoh_gender_final","Have you been able to make repairs that you wanted to your shelter ?"
"76","female","yes",5.6,504,"percentage","repairs","hoh_gender_final","female"," ",28,"repairs/female","1",2,"Yes",NA,"hoh_gender_final","Have you been able to make repairs that you wanted to your shelter ?"
"77","male","no",92.9,3566,"percentage","repairs","hoh_gender_final","male"," ",3313,"repairs/male","2",1,"No",NA,"hoh_gender_final","Have you been able to make repairs that you wanted to your shelter ?"
"78","male","yes",7.1,3566,"percentage","repairs","hoh_gender_final","male"," ",253,"repairs/male","2",2,"Yes",NA,"hoh_gender_final","Have you been able to make repairs that you wanted to your shelter ?"
"79","female","authorization",2.9,476,"percentage","repairs_unable","hoh_gender_final","female"," ",14,"repairs_unable/female","1",5,"Lack of authorization to do repairs",NA,"hoh_gender_final","Why were you unable to make the repairs that you wanted?"
"80","female","materials_unavailable",15,476,"percentage","repairs_unable","hoh_gender_final","female"," ",71,"repairs_unable/female","1",3,"Shelter / repair materials were not available in the market",NA,"hoh_gender_final","Why were you unable to make the repairs that you wanted?"
"81","female","materials_expensive",50.6,476,"percentage","repairs_unable","hoh_gender_final","female"," ",241,"repairs_unable/female","1",1,"Shelter and repair materials are too expensive",NA,"hoh_gender_final","Why were you unable to make the repairs that you wanted?"
"82","female","professional_unavail",4.7,476,"percentage","repairs_unable","hoh_gender_final","female"," ",22,"repairs_unable/female","1",4,"Repairs require professionals but they are unavailable",NA,"hoh_gender_final","Why were you unable to make the repairs that you wanted?"
"83","female","professional_unafford",45.3,476,"percentage","repairs_unable","hoh_gender_final","female"," ",216,"repairs_unable/female","1",2,"Repairs require professionals but we cannot afford their services",NA,"hoh_gender_final","Why were you unable to make the repairs that you wanted?"
"84","male","authorization",11.2,3300,"percentage","repairs_unable","hoh_gender_final","male"," ",370,"repairs_unable/male","2",3,"Lack of authorization to do repairs",NA,"hoh_gender_final","Why were you unable to make the repairs that you wanted?"
"85","male","materials_unavailable",6.1,3300,"percentage","repairs_unable","hoh_gender_final","male"," ",201,"repairs_unable/male","2",4,"Shelter / repair materials were not available in the market",NA,"hoh_gender_final","Why were you unable to make the repairs that you wanted?"
"86","male","materials_expensive",65.1,3300,"percentage","repairs_unable","hoh_gender_final","male"," ",2148,"repairs_unable/male","2",1,"Shelter and repair materials are too expensive",NA,"hoh_gender_final","Why were you unable to make the repairs that you wanted?"
"87","male","professional_unavail",2.9,3300,"percentage","repairs_unable","hoh_gender_final","male"," ",96,"repairs_unable/male","2",5,"Repairs require professionals but they are unavailable",NA,"hoh_gender_final","Why were you unable to make the repairs that you wanted?"
"88","male","professional_unafford",36.6,3300,"percentage","repairs_unable","hoh_gender_final","male"," ",1208,"repairs_unable/male","2",2,"Repairs require professionals but we cannot afford their services",NA,"hoh_gender_final","Why were you unable to make the repairs that you wanted?"
"89","female","free_consent",2.1,631,"percentage","arrangement","hoh_gender_final","female"," ",13,"arrangement/female","1",5,"Staying in accommodation for free with owner's consent",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"90","female","free_no_consent",0.3,631,"percentage","arrangement","hoh_gender_final","female"," ",2,"arrangement/female","1",6,"Staying in accommodation for free without owner's consent",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"91","female","hosted",2.3,631,"percentage","arrangement","hoh_gender_final","female"," ",15,"arrangement/female","1",4,"Hosted by friends/family for free",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"92","female","owned_documents",45.4,631,"percentage","arrangement","hoh_gender_final","female"," ",286,"arrangement/female","1",1,"Owned with documentation",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"93","female","owned_no_documents",14.7,631,"percentage","arrangement","hoh_gender_final","female"," ",93,"arrangement/female","1",3,"Owned without documentation",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"94","female","prefer_not",0,631,"percentage","arrangement","hoh_gender_final","female"," ",0,"arrangement/female","1",7,"Prefer not to answer",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"95","female","rented",35.1,631,"percentage","arrangement","hoh_gender_final","female"," ",221,"arrangement/female","1",2,"Rented",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"96","male","free_consent",5,4844,"percentage","arrangement","hoh_gender_final","male"," ",242,"arrangement/male","2",5,"Staying in accommodation for free with owner's consent",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"97","male","free_no_consent",8.4,4844,"percentage","arrangement","hoh_gender_final","male"," ",407,"arrangement/male","2",4,"Staying in accommodation for free without owner's consent",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"98","male","hosted",2.2,4844,"percentage","arrangement","hoh_gender_final","male"," ",107,"arrangement/male","2",6,"Hosted by friends/family for free",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"99","male","owned_documents",57.2,4844,"percentage","arrangement","hoh_gender_final","male"," ",2771,"arrangement/male","2",1,"Owned with documentation",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"100","male","owned_no_documents",9.6,4844,"percentage","arrangement","hoh_gender_final","male"," ",465,"arrangement/male","2",3,"Owned without documentation",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"101","male","prefer_not",0.2,4844,"percentage","arrangement","hoh_gender_final","male"," ",10,"arrangement/male","2",7,"Prefer not to answer",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"102","male","rented",17.4,4844,"percentage","arrangement","hoh_gender_final","male"," ",843,"arrangement/male","2",2,"Rented",NA,"hoh_gender_final","What is your accommodation arrangement for this shelter?"
"103","female","deed",18.2,631,"percentage","tenure","hoh_gender_final","female"," ",115,"tenure/female","1",3,"Land title deed issued by Court of Law",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"104","female","govt_letter",4.3,631,"percentage","tenure","hoh_gender_final","female"," ",27,"tenure/female","1",5,"Letter of permission from Government Authorities",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"105","female","none",1.1,631,"percentage","tenure","hoh_gender_final","female"," ",7,"tenure/female","1",7,"None (occupied without permission)",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"106","female","other",0.1,631,"percentage","tenure","hoh_gender_final","female"," ",1,"tenure/female","1",9,"Other",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"107","female","prefer_not",1.1,631,"percentage","tenure","hoh_gender_final","female"," ",7,"tenure/female","1",8,"Prefer not to answer",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"108","female","rental_verbal",31.4,631,"percentage","tenure","hoh_gender_final","female"," ",198,"tenure/female","1",1,"Verbal agreement",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"109","female","rental_written",13.1,631,"percentage","tenure","hoh_gender_final","female"," ",83,"tenure/female","1",4,"Written agreement",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"110","female","safayee",2.5,631,"percentage","tenure","hoh_gender_final","female"," ",16,"tenure/female","1",6,"Safayee Notebook",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"111","female","tenure_document",28.1,631,"percentage","tenure","hoh_gender_final","female"," ",177,"tenure/female","1",2,"Customary tenure document",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"112","male","deed",26.4,4844,"percentage","tenure","hoh_gender_final","male"," ",1279,"tenure/male","2",2,"Land title deed issued by Court of Law",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"113","male","govt_letter",3.3,4844,"percentage","tenure","hoh_gender_final","male"," ",160,"tenure/male","2",6,"Letter of permission from Government Authorities",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"114","male","none",8.8,4844,"percentage","tenure","hoh_gender_final","male"," ",426,"tenure/male","2",4,"None (occupied without permission)",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"115","male","other",0,4844,"percentage","tenure","hoh_gender_final","male"," ",0,"tenure/male","2",9,"Other",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"116","male","prefer_not",1.6,4844,"percentage","tenure","hoh_gender_final","male"," ",78,"tenure/male","2",7,"Prefer not to answer",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"117","male","rental_verbal",12.3,4844,"percentage","tenure","hoh_gender_final","male"," ",596,"tenure/male","2",3,"Verbal agreement",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"118","male","rental_written",7.9,4844,"percentage","tenure","hoh_gender_final","male"," ",383,"tenure/male","2",5,"Written agreement",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"119","male","safayee",1.5,4844,"percentage","tenure","hoh_gender_final","male"," ",73,"tenure/male","2",8,"Safayee Notebook",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"120","male","tenure_document",38.2,4844,"percentage","tenure","hoh_gender_final","male"," ",1850,"tenure/male","2",1,"Customary tenure document",NA,"hoh_gender_final","What is the tenure agreement of the living space used by the household?"
"121","female","1_3_month",6.5,290,"percentage","tenure_validity","hoh_gender_final","female"," ",19,"tenure_validity/female","1",4,"Less then three months but more than one month",NA,"hoh_gender_final","For how much longer is this agreement valid?"
"122","female","3_6_month",9.1,290,"percentage","tenure_validity","hoh_gender_final","female"," ",26,"tenure_validity/female","1",3,"Less than six months but more then 3 months",NA,"hoh_gender_final","For how much longer is this agreement valid?"
"123","female","6_12_month",17.5,290,"percentage","tenure_validity","hoh_gender_final","female"," ",51,"tenure_validity/female","1",2,"Less than one year but more than six months",NA,"hoh_gender_final","For how much longer is this agreement valid?"
"124","female","less_one_month",0.2,290,"percentage","tenure_validity","hoh_gender_final","female"," ",1,"tenure_validity/female","1",5,"Less than one month",NA,"hoh_gender_final","For how much longer is this agreement valid?"
"125","female","more_one_year",66.7,290,"percentage","tenure_validity","hoh_gender_final","female"," ",193,"tenure_validity/female","1",1,"More then one year",NA,"hoh_gender_final","For how much longer is this agreement valid?"
"126","male","1_3_month",4.6,1518,"percentage","tenure_validity","hoh_gender_final","male"," ",70,"tenure_validity/male","2",4,"Less then three months but more than one month",NA,"hoh_gender_final","For how much longer is this agreement valid?"
"127","male","3_6_month",12.5,1518,"percentage","tenure_validity","hoh_gender_final","male"," ",190,"tenure_validity/male","2",3,"Less than six months but more then 3 months",NA,"hoh_gender_final","For how much longer is this agreement valid?"
"128","male","6_12_month",31.7,1518,"percentage","tenure_validity","hoh_gender_final","male"," ",481,"tenure_validity/male","2",2,"Less than one year but more than six months",NA,"hoh_gender_final","For how much longer is this agreement valid?"
"129","male","less_one_month",0.1,1518,"percentage","tenure_validity","hoh_gender_final","male"," ",2,"tenure_validity/male","2",5,"Less than one month",NA,"hoh_gender_final","For how much longer is this agreement valid?"
"130","male","more_one_year",51,1518,"percentage","tenure_validity","hoh_gender_final","male"," ",774,"tenure_validity/male","2",1,"More then one year",NA,"hoh_gender_final","For how much longer is this agreement valid?"
"131","female","rent_cost",1817.36,225,"average","rent_cost","hoh_gender_final","female"," ",NA,"rent_cost/female","1",1,NA,NA,"hoh_gender_final","How much did your household spend on rent last month? (in AFN)"
"132","male","rent_cost",1590.97,1218,"average","rent_cost","hoh_gender_final","male"," ",NA,"rent_cost/male","2",1,NA,NA,"hoh_gender_final","How much did your household spend on rent last month? (in AFN)"
"133","female","no",49.5,376,"percentage","hosting","hoh_gender_final","female"," ",186,"hosting/female","1",2,"No",NA,"hoh_gender_final","Does your household host displaced individuals within your shelter?"
"134","female","yes",50.5,376,"percentage","hosting","hoh_gender_final","female"," ",190,"hosting/female","1",1,"Yes",NA,"hoh_gender_final","Does your household host displaced individuals within your shelter?"
"135","male","no",26.8,2759,"percentage","hosting","hoh_gender_final","male"," ",739,"hosting/male","2",2,"No",NA,"hoh_gender_final","Does your household host displaced individuals within your shelter?"
"136","male","yes",73.2,2759,"percentage","hosting","hoh_gender_final","male"," ",2020,"hosting/male","2",1,"Yes",NA,"hoh_gender_final","Does your household host displaced individuals within your shelter?"
"137","female","family",22.4,112,"percentage","hosting_relationship","hoh_gender_final","female"," ",25,"hosting_relationship/female","1",2,"They are family",NA,"hoh_gender_final","What is your relationship to the IDPs you're hosting?"
"138","female","family_contact",19.7,112,"percentage","hosting_relationship","hoh_gender_final","female"," ",22,"hosting_relationship/female","1",3,"Contact through family",NA,"hoh_gender_final","What is your relationship to the IDPs you're hosting?"
"139","female","friends",10.8,112,"percentage","hosting_relationship","hoh_gender_final","female"," ",12,"hosting_relationship/female","1",5,"They are friends",NA,"hoh_gender_final","What is your relationship to the IDPs you're hosting?"
"140","female","friends_contact",18.8,112,"percentage","hosting_relationship","hoh_gender_final","female"," ",21,"hosting_relationship/female","1",4,"Contact through friends",NA,"hoh_gender_final","What is your relationship to the IDPs you're hosting?"
"141","female","local_authority",24.8,112,"percentage","hosting_relationship","hoh_gender_final","female"," ",28,"hosting_relationship/female","1",1,"Contact through local authorities",NA,"hoh_gender_final","What is your relationship to the IDPs you're hosting?"
